Rank,Metropolitan statistical area,2021 estimate,2020 Census,% change,Encompassing combined statistical area
1,"New York-Newark-Jersey City, NY-NJ-PA MSA","19,768,458","20,140,470",−1.85%,"New York-Newark, NY-NJ-CT-PA CSA"
2,"Los Angeles-Long Beach-Anaheim, CA MSA","12,997,353","13,200,998",−1.54%,"Los Angeles-Long Beach, CA CSA"
3,"Chicago-Naperville-Elgin, IL-IN-WI MSA","9,509,934","9,618,502",−1.13%,"Chicago-Naperville, IL-IN-WI CSA"
4,"Dallas-Fort Worth-Arlington, TX MSA","7,759,615","7,637,387",1.60%,"Dallas-Fort Worth, TX-OK CSA"
5,"Houston-The Woodlands-Sugar Land, TX MSA","7,206,841","7,122,240",1.19%,"Houston-The Woodlands, TX CSA"
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","6,356,434","6,385,162",−0.45%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","6,228,601","6,245,051",−0.26%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
8,"Atlanta-Sandy Springs-Alpharetta, GA MSA","6,144,050","6,089,815",0.89%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
9,"Miami-Fort Lauderdale-West Palm Beach, FL MSA","6,091,747","6,138,333",−0.76%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
10,"Phoenix-Mesa-Chandler, AZ MSA","4,946,145","4,845,832",2.07%,"Phoenix-Mesa, AZ CSA"
11,"Boston-Cambridge-Newton, MA-NH MSA","4,899,932","4,941,632",−0.84%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
12,"Riverside-San Bernardino-Ontario, CA MSA","4,653,105","4,599,839",1.16%,"Los Angeles-Long Beach, CA CSA"
13,"San Francisco-Oakland-Berkeley, CA MSA","4,623,264","4,749,008",−2.65%,"San Jose-San Francisco-Oakland, CA CSA"
14,"Detroit–Warren–Dearborn, MI MSA","4,365,205","4,392,041",−0.61%,"Detroit-Warren-Ann Arbor, MI CSA"
15,"Seattle-Tacoma-Bellevue, WA MSA","4,011,553","4,018,762",−0.18%,"Seattle-Tacoma, WA CSA"
16,"Minneapolis-St. Paul-Bloomington, MN-WI MSA","3,690,512","3,690,261",0.01%,"Minneapolis-St. Paul, MN-WI CSA"
17,"San Diego-Chula Vista-Carlsbad, CA MSA","3,286,069","3,298,634",−0.38%,
18,"Tampa-St. Petersburg-Clearwater, FL MSA","3,219,514","3,175,275",1.39%,
19,"Denver-Aurora-Lakewood, CO MSA","2,972,566","2,963,821",0.30%,"Denver-Aurora, CO CSA"
20,"Baltimore-Columbia-Towson, MD MSA","2,838,327","2,844,510",−0.22%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
21,"St. Louis, MO-IL MSA","2,809,299","2,820,253",−0.39%,"St. Louis-St. Charles-Farmington, MO-IL CSA"
22,"Charlotte-Concord-Gastonia, NC-SC MSA","2,701,046","2,660,329",1.53%,"Charlotte-Concord, NC-SC CSA"
23,"Orlando-Kissimmee-Sanford, FL MSA","2,691,925","2,673,376",0.69%,"Orlando-Lakeland-Deltona, FL CSA"
24,"San Antonio-New Braunfels, TX MSA","2,601,788","2,558,143",1.71%,"San Antonio-New Braunfels-Pearsall, TX CSA"
25,"Portland-Vancouver-Hillsboro, OR-WA MSA","2,511,612","2,512,859",−0.05%,"Portland-Vancouver–Salem, OR-WA CSA"
26,"Sacramento-Roseville-Folsom, CA MSA","2,411,428","2,397,382",0.59%,"Sacramento-Roseville, CA CSA"
27,"Pittsburgh, PA MSA","2,353,538","2,370,930",−0.73%,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA"
28,"Austin-Round Rock, TX MSA","2,352,426","2,283,371",3.02%,
29,"Las Vegas-Henderson-Paradise, NV MSA","2,292,476","2,265,461",1.19%,"Las Vegas-Henderson, NV-AZ CSA"
30,"Cincinnati, OH-KY-IN MSA","2,259,935","2,256,884",0.14%,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA"
31,"Kansas City, MO-KS MSA","2,199,490","2,192,035",0.34%,"Kansas City-Overland Park-Kansas City, MO-KS CSA"
32,"Columbus, OH MSA","2,151,017","2,138,926",0.57%,"Columbus-Marion-Zanesville, OH CSA"
33,"Indianapolis-Carmel-Anderson, IN MSA","2,126,804","2,111,040",0.75%,"Indianapolis-Carmel-Muncie, IN CSA"
34,"Cleveland-Elyria, OH MSA","2,075,662","2,088,251",−0.60%,"Cleveland-Akron-Canton, OH CSA"
35,"Nashville-Davidson–Murfreesboro–Franklin, TN MSA","2,012,476","1,989,519",1.15%,"Nashville-Davidson–Murfreesboro, TN CSA"
36,"San Jose-Sunnyvale-Santa Clara, CA MSA","1,952,185","2,000,468",−2.41%,"San Jose-San Francisco-Oakland, CA CSA"
37,"Virginia Beach-Norfolk-Newport News, VA-NC MSA","1,803,328","1,799,674",0.20%,"Virginia Beach-Norfolk, VA-NC CSA"
38,"Providence-Warwick, RI-MA MSA","1,675,774","1,676,579",−0.05%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
