County FIPS,County Name,State FIPS,State Name,Primary and Commercial Airports,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,% of Poor Condition Bridges,Number of business establishments,Percent of resident workers who commute by transit,Number of resident workers who work at home,Number of workers from other counties who commute to work in the county,Number of resident workers who commute to work in other counties,Number of resident workers who commute within county,Number of resident workers,Number of residents,Total Docks,Total Marinas,Route miles of freight railroad,% of Medium to Fair Condition Bridges,Route miles of passenger railroad and rail transit
01001,Autauga County,1,Alabama,0,1,0,114,0.035087719,869,0.000781893,510,"15,576","15,417","8,710","24,300","55,050",,,50.7,0.964912281,0
01003,Baldwin County,1,Alabama,0,4,28,360,0.019444444,"5,384",0.002143436,"4,380","24,011","17,748","62,235","86,310","199,510",1,0,30.4,0.980555556,0
01005,Barbour County,1,Alabama,0,2,2,193,0.031088083,455,0.003984064,110,"2,368","1,871","6,395","8,785","26,615",0,0,14.7,0.968911917,0
01007,Bibb County,1,Alabama,0,1,0,126,0,284,0.004710145,100,"4,868","4,816","3,410","8,280","22,570",,,25.1,1,5.5
01009,Blount County,1,Alabama,0,1,1,183,0.087431694,698,0.001639344,480,"14,171","13,981","7,205","21,350","57,705",,,13.1,0.912568306,0
01011,Bullock County,1,Alabama,0,1,1,138,0.014492754,107,0.003601441,110,"1,699","1,664","2,465","4,165","10,550",,,,0.985507246,
01013,Butler County,1,Alabama,0,1,3,188,0.053191489,422,0,165,"1,925","1,744","5,755","7,690","20,280",,,45.3,0.946808511,0
01015,Calhoun County,1,Alabama,0,1,5,374,0.037433155,"2,319",0.002292827,"1,200","10,171","8,879","35,630","45,795","115,885",,,65.9,0.962566845,29.3
01017,Chambers County,1,Alabama,0,1,1,184,0.070652174,554,0.002527988,300,"8,153","3,955","5,705","13,845","34,020",,,28.9,0.929347826,0
01019,Cherokee County,1,Alabama,0,1,3,169,0.017751479,361,0.005527638,190,"5,034","2,385","4,880","9,950","25,895",,,,0.982248521,
01021,Chilton County,1,Alabama,0,1,4,189,0.015873016,756,0.000866802,315,"8,965","8,588","8,335","17,305","43,815",,,59.4,0.984126984,0
01023,Choctaw County,1,Alabama,0,1,1,153,0.065359477,257,0,55,"1,774",632,"2,375","4,145","13,285",,,26.7,0.934640523,0
01025,Clarke County,1,Alabama,0,2,1,155,0.006451613,600,0.001747815,80,"2,219","1,898","5,800","8,010","24,845",,,42.9,0.993548387,0
01027,Clay County,1,Alabama,0,1,1,130,0.084615385,185,0.000743494,80,"1,989","1,835","3,390","5,380","13,485",,,28.8,0.915384615,0
01029,Cleburne County,1,Alabama,,,,165,0.109090909,170,0.000717489,130,"3,866","1,530","1,705","5,575","14,990",,,19.7,0.890909091,19.7
01031,Coffee County,1,Alabama,0,2,9,214,0.014018692,985,0.000181901,615,"8,745","8,341","13,195","21,990","50,990",,,4.6,0.985981308,0
01033,Colbert County,1,Alabama,1,0,3,175,0.011428571,"1,217",0.001155802,345,"7,543","6,889","14,095","21,630","54,375",5,0,70.3,0.988571429,0
01035,Conecuh County,1,Alabama,0,1,1,226,0.084070796,196,0,60,"1,544","1,439","2,215","3,755","12,695",,,39.1,0.915929204,0
01037,Coosa County,1,Alabama,0,0,1,129,0.062015504,96,0.005509642,115,"2,903","2,879",740,"3,630","10,865",,,12.9,0.937984496,0
01039,Covington County,1,Alabama,0,2,1,337,0.03264095,816,0.002111189,255,"3,022","1,795","11,095","14,210","37,730",,,29.2,0.96735905,0
01041,Crenshaw County,1,Alabama,0,1,0,171,0.029239766,214,0.000720721,175,"2,711","2,551","2,820","5,550","13,895",,,,0.970760234,
01043,Cullman County,1,Alabama,0,1,4,245,0.053061224,"1,739",0.001257466,720,"9,556","9,090","22,250","31,810","81,315",,,24.6,0.946938776,0
01045,Dale County,1,Alabama,1,1,14,203,0,744,0.001218027,485,"8,650","8,208","11,845","20,525","49,605",,,53.4,1,0
01047,Dallas County,1,Alabama,0,1,1,227,0.030837004,721,0.002881844,180,"2,472","2,309","11,400","13,880","41,425",0,0,110.7,0.969162996,0
01049,DeKalb County,1,Alabama,0,1,3,300,0.07,"1,110",0.000361729,530,"7,826","5,972","19,810","27,645","70,935",,,39.2,0.93,0
01051,Elmore County,1,Alabama,0,1,2,198,0.03030303,"1,179",0.001680929,685,"22,320","21,916","10,380","32,720","80,955",,,16.2,0.96969697,0
01053,Escambia County,1,Alabama,0,2,3,196,0.035714286,752,0.003408607,110,"2,625","1,743","9,120","11,735","37,875",,,89.6,0.964285714,0
01055,Etowah County,1,Alabama,0,1,2,231,0.043290043,"1,978",0.002589715,"1,775","10,887","10,437","29,675","40,545","103,365",,,59.6,0.956709957,0
01057,Fayette County,1,Alabama,0,1,2,191,0.010471204,299,0.000660611,120,"2,988","2,913","3,070","6,055","16,785",,,20,0.989528796,0
01059,Franklin County,1,Alabama,0,1,0,194,0.051546392,517,0.002460025,245,"4,498","3,648","7,690","12,195","31,575",,,22.9,0.948453608,0
01061,Geneva County,1,Alabama,0,2,8,205,0.03902439,400,0.00039604,345,"5,665","4,809","4,420","10,100","26,765",,,,0.96097561,
01063,Greene County,1,Alabama,0,1,1,206,0.058252427,99,0.010729614,95,"1,347","1,324",980,"2,330","8,585",1,0,69.2,0.941747573,20
01065,Hale County,1,Alabama,0,1,3,178,0.073033708,178,0.000810537,90,"3,066","3,048","1,860","4,935","15,160",,,20.3,0.926966292,16.9
01067,Henry County,1,Alabama,0,2,0,133,0.007518797,297,0.000574713,190,"4,072","3,763","2,855","6,960","17,185",,,27.5,0.992481203,0
01069,Houston County,1,Alabama,0,0,5,246,0.008130081,"2,720",0.001729306,965,"6,989","5,011","36,395","43,370","103,890",0,0,73.7,0.991869919,0
01071,Jackson County,1,Alabama,0,2,6,313,0.057507987,840,0.000677146,505,"7,112","4,172","13,550","20,675","52,610",2,0,83.6,0.942492013,0
01073,Jefferson County,1,Alabama,1,1,17,"1,051",0.027592769,"16,430",0.008999932,"7,560","35,311","32,938","257,415","292,780","659,095",4,0,318.4,0.972407231,41.9
01075,Lamar County,1,Alabama,0,1,0,181,0.033149171,246,0.00686948,35,"2,302","1,079","2,785","5,095","14,065",,,37.8,0.966850829,0
01077,Lauderdale County,1,Alabama,0,0,4,265,0.071698113,"1,996",0.002196099,640,"12,317","10,936","26,405","38,705","92,640",4,0,16.2,0.928301887,0
01079,Lawrence County,1,Alabama,0,1,2,214,0.03271028,404,0.002815768,215,"7,925","7,834","4,495","12,430","33,435",0,0,27.8,0.96728972,0
01081,Lee County,1,Alabama,0,1,3,214,0.046728972,"2,796",0.008547009,"2,575","22,766","8,954","47,430","70,200","153,945",,,60.5,0.953271028,0
01083,Limestone County,1,Alabama,0,1,2,311,0.028938907,"1,379",0.000789785,"1,040","20,255","19,115","17,735","37,985","90,255",3,0,42.1,0.971061093,0
01085,Lowndes County,1,Alabama,0,1,0,157,0.012738854,108,0.004424779,80,"2,301","2,283","1,090","3,390","10,565",0,0,46.7,0.987261146,0
01087,Macon County,1,Alabama,0,1,3,177,0.129943503,198,0.009491525,115,"3,591","3,477","3,755","7,375","19,685",,,26.4,0.870056497,0
01089,Madison County,1,Alabama,1,1,10,690,0.02173913,"8,454",0.001934002,"5,120","10,254","8,048","155,125","165,460","349,975",,,52.5,0.97826087,4.8
01091,Marengo County,1,Alabama,0,1,2,203,0.0591133,465,0.004576659,185,"2,205","2,061","4,355","6,555","20,065",0,0,110.6,0.9408867,0
01093,Marion County,1,Alabama,0,1,1,255,0.019607843,570,0.000347222,300,"3,945","3,334","7,580","11,520","30,240",,,21.4,0.980392157,0
01095,Marshall County,1,Alabama,0,2,2,170,0.088235294,"1,829",0.003062583,"1,030","9,653","9,169","27,945","37,550","94,535",2,0,16.3,0.911764706,0
01097,Mobile County,1,Alabama,1,3,12,592,0.028716216,"8,813",0.004830064,"6,625","16,427","6,640","153,190","169,770","414,290",54,0,151.5,0.971283784,29.9
01099,Monroe County,1,Alabama,0,1,1,145,0.110344828,390,0.002957198,120,"1,494","1,419","4,935","6,425","21,975",,,80.8,0.889655172,0
01101,Montgomery County,1,Alabama,1,0,7,584,0.01369863,"5,585",0.007097871,"3,105","8,699","7,919","91,330","100,030","227,390",1,0,99.6,0.98630137,0
01103,Morgan County,1,Alabama,0,1,4,263,0.015209125,"2,620",0.002314815,815,"16,004","15,505","33,650","49,680","119,555",7,0,40.6,0.984790875,0
01105,Perry County,1,Alabama,0,1,0,163,0.061349693,121,0,25,"1,069","1,054","1,405","2,475","9,855",,,7.7,0.938650307,0
01107,Pickens County,1,Alabama,0,2,1,239,0.083682008,256,0.004457652,315,"3,409","2,526","3,320","6,730","20,040",,,58,0.916317992,0
01109,Pike County,1,Alabama,0,1,1,202,0.034653465,658,0.006071429,530,"1,970","1,875","12,040","14,000","33,275",,,57.5,0.965346535,0
01111,Randolph County,1,Alabama,0,1,4,166,0.06626506,338,0.001209921,400,"3,512","1,431","4,745","8,265","22,615",,,30.8,0.93373494,0
01113,Russell County,1,Alabama,0,0,3,205,0.029268293,790,0.003290827,700,"17,443","2,049","6,850","24,310","58,635",0,0,31.7,0.970731707,0
01115,St. Clair County,1,Alabama,0,1,6,182,0.016483516,"1,313",0.00186096,"1,325","23,548","22,980","14,080","37,615","86,575",,,86.5,0.983516484,21
01117,Shelby County,1,Alabama,0,1,9,343,0.017492711,"5,238",0.00182698,"4,820","50,352","48,873","50,890","101,260","205,950",,,160.9,0.982507289,5
01119,Sumter County,1,Alabama,0,0,1,245,0.081632653,197,0.004761905,85,"1,476",918,"2,725","4,200","13,285",,,27.2,0.918367347,27.2
01121,Talladega County,1,Alabama,0,3,2,243,0.04526749,"1,256",0.006161532,560,"11,055","10,534","18,965","30,025","81,055",,,143.7,0.95473251,10.7
01123,Tallapoosa County,1,Alabama,0,1,2,152,0.118421053,771,0.001341832,470,"4,889","4,592","10,020","14,905","40,960",,,33.1,0.881578947,0
01125,Tuscaloosa County,1,Alabama,0,1,4,480,0.027083333,"4,111",0.003829691,"2,680","8,734","8,125","79,995","88,780","202,470",2,0,107.1,0.972916667,41.7
01127,Walker County,1,Alabama,0,1,2,273,0.062271062,"1,232",0.003211991,305,"7,546","7,197","15,780","23,350","65,595",0,0,112,0.937728938,0
01129,Washington County,1,Alabama,0,1,2,179,0.122905028,208,0,70,"3,019","2,398","2,505","5,535","16,910",1,0,28.5,0.877094972,0
01131,Wilcox County,1,Alabama,0,1,0,168,0.160714286,185,0.001351351,100,"1,024","1,006","1,940","2,960","11,120",0,0,53.2,0.839285714,0
01133,Winston County,1,Alabama,0,3,1,79,0.063291139,447,0,230,"3,539","3,433","4,930","8,470","24,015",,,22.8,0.936708861,0
02013,Aleutians East Borough,2,Alaska,2,10,1,2,0,58,0.001626016,60,8,8,"2,455","2,460","3,300",22,0,,1,
02016,Aleutians West Census Area,2,Alaska,3,2,4,,,113,0.000973236,85,35,16,"4,085","4,110","5,715",25,0,,,
02020,Anchorage Municipality,2,Alaska,1,7,17,129,0.062015504,"8,759",0.01792423,"6,075","6,493","5,830","151,495","158,110","299,320",5,0,108.6,0.937984496,100.7
02050,Bethel Census Area,2,Alaska,6,31,7,6,0.166666667,251,0.005008636,255,40,40,"5,755","5,790","17,885",3,0,,0.833333333,
02060,Bristol Bay Borough,2,Alaska,1,2,1,3,0.666666667,85,0.007407407,20,31,31,510,540,940,5,0,,0.333333333,
02068,Denali Borough,2,Alaska,0,9,5,23,0,111,0.007575758,300,79,79,"1,235","1,320","2,125",,,83.1,1,80.9
02070,Dillingham Census Area,2,Alaska,1,13,6,11,0.272727273,98,0.010582011,145,12,12,"1,875","1,890","4,980",3,0,,0.727272727,
02090,Fairbanks North Star Borough,2,Alaska,1,1,20,98,0.102040816,"2,492",0.010663048,"1,590","1,541","1,359","50,010","51,580","100,150",1,0,77.4,0.897959184,36.5
02100,Haines Borough,2,Alaska,1,2,5,13,0.153846154,140,0.015503876,110,101,87,"1,185","1,290","2,530",8,0,,0.846153846,
02105,Hoonah-Angoon Census Area,2,Alaska,2,7,1,,,84,0.019704433,120,79,79,930,"1,015","2,105",,,,,
02110,Juneau City and Borough,2,Alaska,1,3,6,53,0.056603774,"1,159",0.04002274,540,206,178,"17,380","17,590","32,525",20,0,,0.943396226,
02122,Kenai Peninsula Borough,2,Alaska,3,16,47,86,0.139534884,"2,155",0.009687185,"1,905","1,853","1,695","22,920","24,775","57,635",18,0,52.9,0.860465116,51.7
02130,Ketchikan Gateway Borough,2,Alaska,1,3,6,92,0.173913043,608,0.031734317,195,78,66,"6,675","6,775","13,715",23,0,,0.826086957,
02150,Kodiak Island Borough,2,Alaska,1,11,8,24,0.041666667,477,0.007213115,405,49,49,"7,555","7,625","13,920",21,0,,0.958333333,
02158,Kusilvak Census Area,2,Alaska,4,8,2,,,79,0,100,24,24,"2,095","2,110","7,995",,,,,
02164,Lake and Peninsula Borough,2,Alaska,1,18,7,6,0,51,0.006779661,25,32,32,570,590,"1,410",,,,1,
02170,Matanuska-Susitna Borough,2,Alaska,0,27,163,115,0.060869565,"2,297",0.010751898,"2,500","14,666","14,543","26,140","40,830","98,680",0,0,201.3,0.939130435,193.8
02180,Nome Census Area,2,Alaska,8,13,8,30,0.066666667,172,0.002315485,150,20,16,"3,445","3,455","9,880",2,0,,0.933333333,
02185,North Slope Borough,2,Alaska,5,8,20,48,0,163,0.019886364,695,89,74,"5,195","5,280","9,680",,,,1,
02188,Northwest Arctic Borough,2,Alaska,5,8,5,,,81,0.001619433,125,42,42,"2,440","2,470","7,725",1,0,,,
02195,Petersburg Borough,2,Alaska,1,1,1,,,157,0.011356467,50,123,119,"1,455","1,585","3,195",,,,,
02198,Prince of Wales-Hyder Census Area,2,Alaska,0,17,10,,,165,0.01302682,130,100,80,"2,515","2,610","6,375",,,,,
02220,Sitka City and Borough,2,Alaska,1,4,2,35,0.142857143,378,0.015811966,190,82,55,"4,595","4,680","8,920",11,0,,0.857142857,
02230,Skagway Municipality,2,Alaska,1,0,0,,,120,0.011940299,40,26,26,645,670,"1,015",,,18.4,,18.4
02240,Southeast Fairbanks Census Area,2,Alaska,0,10,12,71,0.098591549,177,0.006837607,350,113,113,"2,815","2,925","6,970",,,,0.901408451,
02261,Valdez-Cordova Census Area,2,Alaska,2,21,17,108,0.083333333,504,0.002219756,155,87,79,"4,430","4,505","9,520",26,0,3.1,0.916666667,3.1
02275,Wrangell City and Borough,2,Alaska,1,2,0,,,98,0.009661836,90,43,43,990,"1,035","2,400",,,,,
02282,Yakutat City and Borough,2,Alaska,1,9,0,3,0,28,0.011428571,15,12,8,340,350,645,4,0,,1,
02290,Yukon-Koyukuk Census Area,2,Alaska,3,48,13,73,0.109589041,101,0.001975309,150,148,148,"1,880","2,025","5,600",1,0,38.3,0.890410959,38.3
04001,Apache County,4,Arizona,0,4,1,256,0.03125,458,0.011631127,"1,110","4,011","1,924","14,060","18,055","72,345",,,124,0.96875,53.7
04003,Cochise County,4,Arizona,0,7,22,501,0.025948104,"2,178",0.005503993,"2,360","2,294","1,839","43,905","46,330","128,175",,,139.3,0.974051896,101.6
04005,Coconino County,4,Arizona,1,4,11,403,0.024813896,"3,746",0.016557223,"3,270","5,054","3,424","58,750","63,960","138,065",,,285.6,0.975186104,196.2
04007,Gila County,4,Arizona,0,4,2,260,0.034615385,"1,019",0.002285061,950,"2,429","2,385","15,085","17,505","53,180",,,41.3,0.965384615,0
04009,Graham County,4,Arizona,0,1,7,168,0.047619048,510,0.009943796,355,"2,278","2,240","9,275","11,565","37,530",,,90.2,0.952380952,0
04011,Greenlee County,4,Arizona,0,1,1,89,0.056179775,83,0,70,248,206,"3,300","3,545","9,225",,,41.2,0.943820225,0
04012,La Paz County,4,Arizona,0,1,7,302,0.052980132,337,0.003192338,510,769,185,"5,495","6,265","20,305",,,75.1,0.947019868,0
04013,Maricopa County,4,Arizona,1,10,96,"2,702",0.001480385,"94,566",0.022589312,"112,860","39,057","20,545","1,803,760","1,844,235","4,088,550",,,296.2,0.998519615,68.9
04015,Mohave County,4,Arizona,0,7,19,623,0.016051364,"3,784",0.006422509,"1,900","12,455","1,008","52,920","65,395","203,630",,,122.8,0.983948636,119.5
04017,Navajo County,4,Arizona,1,8,5,267,0.033707865,"1,770",0.010749289,"2,105","2,928","2,334","28,685","31,630","108,210",,,118.5,0.966292135,54.7
04019,Pima County,4,Arizona,1,4,15,"1,085",0.025806452,"20,300",0.028234183,"19,865","13,293","9,440","409,820","423,600","1,003,340",,,121.6,0.974193548,86.2
04021,Pinal County,4,Arizona,0,8,15,704,0.015625,"3,713",0.002413208,"7,635","68,661","67,085","69,570","138,405","397,605",,,200.7,0.984375,69.3
04023,Santa Cruz County,4,Arizona,0,1,0,133,0.015037594,"1,153",0.003193961,965,"2,183","2,125","14,795","17,220","46,545",,,30.2,0.984962406,0
04025,Yavapai County,4,Arizona,1,4,20,540,0.012962963,"5,985",0.004073823,"5,745","6,998","6,125","73,950","81,005","218,585",,,213.9,0.987037037,48.4
04027,Yuma County,4,Arizona,0,2,6,261,0.038314176,"3,037",0.014383654,"2,385","3,693",485,"70,475","74,390","203,290",,,114,0.961685824,86
05001,Arkansas County,5,Arkansas,0,2,3,157,0.01910828,502,0.002542912,210,594,575,"7,260","7,865","18,570",,,19.7,0.98089172,0
05003,Ashley County,5,Arkansas,0,1,2,103,0,373,0.001909612,210,"1,292",882,"6,550","7,855","20,990",,,53.9,1,0
05005,Baxter County,5,Arkansas,0,1,6,82,0,"1,047",0.004320372,430,"2,198","1,910","12,855","15,045","40,990",,,35.2,1,0
05007,Benton County,5,Arkansas,1,3,18,385,0.072727273,"6,408",0.001130885,"4,835","18,335","15,192","95,710","114,070","245,230",,,64.4,0.927272727,0
05009,Boone County,5,Arkansas,1,0,2,97,0.030927835,883,0,400,"2,328","1,259","12,605","14,915","37,300",,,30,0.969072165,0
05011,Bradley County,5,Arkansas,0,1,1,109,0.009174312,258,0.003811944,230,"1,108","1,089","2,815","3,935","11,095",,,38.2,0.990825688,0
05013,Calhoun County,5,Arkansas,0,1,0,109,0.036697248,57,0.001851852,55,"1,364","1,334",790,"2,160","5,210",,,37.1,0.963302752,0
05015,Carroll County,5,Arkansas,0,2,8,115,0.034782609,709,0.000359874,435,"1,982","1,182","9,135","11,115","27,690",,,,0.965217391,
05017,Chicot County,5,Arkansas,0,2,2,90,0.011111111,208,0.013661202,45,"1,079",579,"2,575","3,660","11,190",,,48.7,0.988888889,0
05019,Clark County,5,Arkansas,0,2,1,204,0.034313725,511,0.004540868,390,"2,899","2,802","7,020","9,910","22,685",,,34.9,0.965686275,29.6
05021,Clay County,5,Arkansas,0,3,2,203,0.064039409,287,0,130,"2,421","1,650","3,760","6,175","15,200",,,37.6,0.935960591,19.4
05023,Cleburne County,5,Arkansas,0,1,7,52,0,579,0,450,"2,783","2,532","6,820","9,625","25,585",,,,1,
05025,Cleveland County,5,Arkansas,,,,84,0.011904762,80,0.006349206,30,"2,336","2,288",815,"3,150","8,420",,,21.3,0.988095238,0
05027,Columbia County,5,Arkansas,0,1,1,132,0.015151515,540,0.00040282,215,"1,885","1,240","8,045","9,930","24,170",,,47.1,0.984848485,0
05029,Conway County,5,Arkansas,0,2,4,122,0.008196721,401,0.007907543,220,"3,460","3,336","4,755","8,220","21,060",1,0,22,0.991803279,0
05031,Craighead County,5,Arkansas,1,0,5,436,0.04587156,"2,528",0.003138528,"1,615","5,450","4,623","40,740","46,200","102,885",,,70.9,0.95412844,0
05033,Crawford County,5,Arkansas,0,0,1,248,0.100806452,"1,072",0.00198334,500,"13,183","12,585","12,030","25,210","61,925",1,0,56.1,0.899193548,32.3
05035,Crittenden County,5,Arkansas,0,1,3,234,0.02991453,840,0.003514938,515,"7,974","1,112","11,950","19,915","49,510",,,88.5,0.97008547,0
05037,Cross County,5,Arkansas,0,0,3,129,0.062015504,358,0.001428571,275,"2,267","1,779","4,730","7,000","17,330",,,69.8,0.937984496,0
05039,Dallas County,5,Arkansas,0,1,1,110,0.063636364,192,0.001372213,45,"1,243","1,229","1,670","2,915","7,740",,,7.3,0.936363636,0
05041,Desha County,5,Arkansas,0,2,2,83,0.024096386,300,0.000914286,55,"1,037",944,"3,335","4,375","12,235",1,0,48.2,0.975903614,0
05043,Drew County,5,Arkansas,0,1,2,147,0.027210884,401,0,165,"2,146","2,014","5,130","7,280","18,690",,,40.5,0.972789116,0
05045,Faulkner County,5,Arkansas,0,1,10,210,0.014285714,"2,577",0.001596594,"1,845","17,422","16,657","38,970","56,370","120,415",0,0,19.4,0.985714286,0
05047,Franklin County,5,Arkansas,0,1,3,140,0.085714286,285,0.007836991,350,"2,879","2,707","3,510","6,380","17,800",0,0,24.7,0.914285714,0
05049,Fulton County,5,Arkansas,0,1,1,102,0.049019608,161,0.004678363,150,"1,814","1,211","2,450","4,275","12,185",,,13.9,0.950980392,0
05051,Garland County,5,Arkansas,1,0,3,300,0.02,"2,765",0.004226976,"1,910","5,407","4,840","33,615","39,035","97,120",,,23.3,0.98,0
05053,Grant County,5,Arkansas,0,1,0,119,0,268,0.001312336,275,"4,468","4,383","3,170","7,620","18,045",,,,1,
05055,Greene County,5,Arkansas,0,1,2,246,0.056910569,791,0.000224278,360,"4,680","4,277","13,160","17,835","43,745",,,32.8,0.943089431,9.7
05057,Hempstead County,5,Arkansas,0,1,2,175,0.022857143,384,0.001768868,310,"2,151","1,754","6,335","8,480","22,210",,,80.1,0.977142857,21.7
05059,Hot Spring County,5,Arkansas,0,1,2,222,0.067567568,499,0.005723006,255,"6,105","6,002","7,015","13,105","33,440",,,38.5,0.932432432,26.3
05061,Howard County,5,Arkansas,0,1,2,117,0.034188034,282,0.015873016,285,"1,174",950,"4,185","5,355","13,485",,,43.4,0.965811966,0
05063,Independence County,5,Arkansas,0,1,2,183,0.010928962,782,0,435,"2,186","1,885","13,195","15,375","37,030",,,51.3,0.989071038,1
05065,Izard County,5,Arkansas,0,3,2,98,0.020408163,221,0,190,"1,475","1,385","2,975","4,460","13,460",,,41.7,0.979591837,0
05067,Jackson County,5,Arkansas,0,1,3,136,0.014705882,313,0.002798507,165,"1,431","1,388","3,930","5,360","17,495",,,42.1,0.985294118,36.4
05069,Jefferson County,5,Arkansas,0,1,4,347,0.040345821,"1,316",0.005045786,600,"4,608","4,263","22,125","26,755","72,385",8,0,92.4,0.959654179,0
05071,Johnson County,5,Arkansas,0,1,1,158,0.018987342,401,0.00444664,525,"2,034","1,977","8,095","10,120","26,025",,,27.1,0.981012658,0
05073,Lafayette County,5,Arkansas,,,,72,0.041666667,106,0.004106776,100,"1,177",778,"1,260","2,435","7,125",,,40.9,0.958333333,0
05075,Lawrence County,5,Arkansas,0,1,1,127,0.062992126,287,0.002216944,205,"2,454","2,286","3,870","6,315","16,915",,,62.4,0.937007874,23.1
05077,Lee County,5,Arkansas,0,1,2,98,0.06122449,115,0.001473297,55,"1,268","1,254","1,445","2,715","9,780",,,19.4,0.93877551,0
05079,Lincoln County,5,Arkansas,0,1,0,110,0.027272727,171,0,80,"1,536","1,493","1,595","3,140","13,935",,,13.6,0.972727273,0
05081,Little River County,5,Arkansas,0,0,2,86,0.093023256,175,0,55,"2,292",975,"2,295","4,590","12,615",,,85.4,0.906976744,0
05083,Logan County,5,Arkansas,0,2,1,153,0.065359477,380,0.00539892,445,"2,984","2,740","5,330","8,335","21,935",,,,0.934640523,
05085,Lonoke County,5,Arkansas,0,1,11,185,0.048648649,"1,048",0.001831502,925,"20,322","20,049","12,440","32,760","71,280",,,13.4,0.951351351,13.4
05087,Madison County,5,Arkansas,0,1,3,148,0.216216216,211,0.001510574,320,"3,325","3,279","3,290","6,620","15,760",,,,0.783783784,
05089,Marion County,5,Arkansas,0,1,4,63,0.015873016,210,0.001874414,230,"2,257","2,188","3,080","5,335","16,405",,,23.8,0.984126984,0
05091,Miller County,5,Arkansas,1,0,2,215,0.004651163,739,0.002790179,315,"10,008","1,025","7,905","17,920","43,665",,,46.6,0.995348837,18.8
05093,Mississippi County,5,Arkansas,0,4,3,310,0.090322581,794,0.000598444,285,"1,475",883,"15,250","16,710","44,200",3,0,73.4,0.909677419,0
05095,Monroe County,5,Arkansas,0,3,0,86,0.046511628,192,0,100,910,867,"1,950","2,870","7,540",,,37.7,0.953488372,0
05097,Montgomery County,5,Arkansas,0,1,0,202,0.02970297,131,0.001225115,75,"1,538","1,458","1,720","3,265","9,100",,,,0.97029703,
05099,Nevada County,5,Arkansas,0,1,0,134,0.059701493,121,0,110,"1,636","1,556","1,455","3,100","8,670",,,16.5,0.940298507,13.8
05101,Newton County,5,Arkansas,0,0,1,63,0.047619048,83,0.006802721,155,"1,410","1,308","1,530","2,940","7,990",,,,0.952380952,
05103,Ouachita County,5,Arkansas,0,1,2,167,0.017964072,513,0.006965174,130,"2,811","2,624","7,240","10,050","24,730",,,67.8,0.982035928,0
05105,Perry County,5,Arkansas,0,0,1,118,0.033898305,96,0.001017812,250,"2,681","2,654","1,250","3,930","10,245",,,36,0.966101695,0
05107,Phillips County,5,Arkansas,0,1,4,113,0.230088496,389,0.000609292,145,"1,290",612,"5,260","6,565","19,930",5,0,18.4,0.769911504,0
05109,Pike County,5,Arkansas,0,0,2,94,0.053191489,202,0.006741573,95,"2,033","1,897","2,420","4,450","11,015",,,,0.946808511,
05111,Poinsett County,5,Arkansas,0,1,4,200,0.13,351,0.000441501,305,"4,336","4,048","4,715","9,060","24,130",,,61.1,0.87,0
05113,Polk County,5,Arkansas,0,1,0,220,0.118181818,447,0.005633803,285,795,487,"6,290","7,100","20,290",,,62.2,0.881818182,0
05115,Pope County,5,Arkansas,0,1,2,192,0.010416667,"1,598",0.001852881,665,"4,416","4,068","22,550","26,985","63,105",2,0,31.6,0.989583333,0
05117,Prairie County,5,Arkansas,0,2,3,93,0.129032258,149,0,180,"1,613","1,589","1,730","3,325","8,335",,,4.4,0.870967742,0
05119,Pulaski County,5,Arkansas,1,1,16,708,0.026836158,"12,245",0.010116969,"5,175","12,284","10,953","167,975","180,390","391,805",3,0,136.9,0.973163842,29.6
05121,Randolph County,5,Arkansas,0,1,1,150,0.04,314,0,75,"2,430","2,013","4,350","6,775","17,585",,,2.7,0.96,2.5
05123,St. Francis County,5,Arkansas,0,1,3,205,0.029268293,459,0.001125492,275,"2,620","2,094","6,280","8,885","27,025",,,60.9,0.970731707,0
05125,Saline County,5,Arkansas,0,1,1,218,0.050458716,"1,967",0.001379437,"1,505","32,311","31,912","22,070","54,370","115,575",,,24.4,0.949541284,21.1
05127,Scott County,5,Arkansas,0,1,0,196,0.045918367,151,0.002457002,190,"1,001",918,"3,055","4,070","10,660",,,22.6,0.954081633,0
05129,Searcy County,5,Arkansas,0,1,0,65,0.030769231,111,0.003372681,110,"1,040",950,"1,930","2,965","7,940",,,,0.969230769,
05131,Sebastian County,5,Arkansas,1,0,3,328,0.054878049,"3,415",0.00414174,"1,050","9,324","6,255","44,990","54,325","127,350",0,0,36.6,0.945121951,0
05133,Sevier County,5,Arkansas,0,1,1,164,0.085365854,256,0.001408451,150,"2,476","1,615","4,625","7,100","17,195",,,56.1,0.914634146,0
05135,Sharp County,5,Arkansas,0,1,0,109,0.036697248,310,0,185,"2,453","2,233","3,330","5,800","17,025",,,16.8,0.963302752,0
05137,Stone County,5,Arkansas,0,1,1,73,0,226,0,270,899,824,"3,340","4,255","12,505",,,,1,
05139,Union County,5,Arkansas,1,1,2,285,0.014035088,"1,087",0.00125,205,"1,470",938,"14,525","16,000","40,335",0,0,39.9,0.985964912,0
05141,Van Buren County,5,Arkansas,0,1,2,98,0.030612245,310,0,250,"1,863","1,723","3,535","5,400","16,890",,,,0.969387755,
05143,Washington County,5,Arkansas,0,2,7,447,0.040268456,"5,442",0.009366204,"4,085","20,020","18,079","82,910","103,030","219,930",,,37.3,0.959731544,24.9
